year,month,prcp_mm,tave_degC
1895,1,190.2,-4.09
1895,2,37.6,-7.06
1895,3,72.76,3.2
1895,4,120.65,8.91
1895,5,80.9,13.87
1895,6,64.74,19.36
1895,7,124.5,18.77
1895,8,60.79,20.26
1895,9,28.32,19.25
1895,10,32.97,8.19
1895,11,82.08,5.24
1895,12,100.41,0.2
1896,1,53.49,-1.93
1896,2,106.16,-0.04
1896,3,130.77,1.42
1896,4,45.28,11.82
1896,5,78.08,18.12
1896,6,164.52,18.3
1896,7,134.81,20.9
1896,8,68.24,20.02
1896,9,225.16,16.42
1896,10,10.69,9.67
1896,11,171.6,8.13
1896,12,2.3,0
1897,1,54.24,-3.05
1897,2,182.74,0.31
1897,3,87.17,5.66
1897,4,49.61,9.11
1897,5,159,13.58
1897,6,97.23,18.62
1897,7,113.7,21.06
1897,8,75.6,19.61
1897,9,14.15,16.92
1897,10,84.87,12.2
1897,11,105.18,5.48
1897,12,103.67,1.21
1898,1,114.41,0.53
1898,2,18.39,-0.95
1898,3,117.66,6.7
1898,4,88.51,7.06
1898,5,158.82,15.83
1898,6,82.71,19.13
1898,7,151.38,21.14
1898,8,160.98,20.17
1898,9,92.7,17.65
1898,10,256.54,11.31
1898,11,66.67,3.73
1898,12,105.81,-0.27
1899,1,85.33,-1.28
1899,2,135.44,-5.23
1899,3,140.7,3.6
1899,4,49.69,9.33
1899,5,97.95,15.66
1899,6,54.91,19.89
1899,7,67.06,21.33
1899,8,126.1,21.2
1899,9,141.58,15.79
1899,10,84.63,11.85
1899,11,29.45,5.99
1899,12,40.35,-0.88
1900,1,104.17,-0.87
1900,2,123.29,-1.89
1900,3,106.03,2.01
1900,4,78.71,9.72
1900,5,77.58,15.64
1900,6,164.11,19.11
1900,7,90.77,21.74
1900,8,42.53,22.78
1900,9,117.87,19.74
1900,10,100.6,13.88
1900,11,92.48,6.73
1900,12,80.76,0.13
1901,1,82.83,-0.67
1901,2,16.85,-3.27
1901,3,98.62,4.36
1901,4,215.3,6.62
1901,5,161,14.41
1901,6,144.16,18.75
1901,7,107.19,22.05
1901,8,260.28,19.51
1901,9,132.68,15.51
1901,10,20.05,10.74
1901,11,50.46,1.42
1901,12,223.84,-1.75
1902,1,96.86,-2.48
1902,2,134.28,-4.19
1902,3,102.14,4.65
1902,4,58.2,8.26
1902,5,83.33,16.37
1902,6,106.33,17.98
1902,7,77.14,21.38
1902,8,59.51,18.86
1902,9,117.78,15.42
1902,10,159.42,11.65
1902,11,131.34,8.32
1902,12,97.04,-0.53
1903,1,138.2,-2.03
1903,2,138.94,0.98
1903,3,150.93,7.81
1903,4,102.54,8.84
1903,5,44.74,15.17
